=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.21 17:05:17 =~=~=~=~=~=~=~=~=~=~=~=,,,
X,Y,Z,M
-0.78,-0.29,-0.29,0.89
-0.88,-0.59,0,1.06
-1.18,-0.49,-0.49,1.36
-0.69,-0.2,0,0.71
-0.88,-0.59,0,1.06
-0.78,-0.59,0,0.98
-0.69,-0.49,0,0.84
-0.59,-0.49,-0.29,0.82
-0.88,-0.49,-0.29,1.05
-0.78,-0.39,0,0.88
-0.78,-0.29,-0.39,0.92
-0.88,-0.39,-0.49,1.08
-0.88,-0.49,-0.29,1.05
-0.88,-0.39,-0.59,1.13
-0.98,-0.2,-0.39,1.07
-0.59,-0.29,-0.2,0.69
-0.69,-0.59,0,0.9
-0.69,-0.39,-0.49,0.93
-0.88,0,-0.49,1.01
-0.88,-0.49,0,1.01
-0.98,-0.39,-0.29,1.1
-0.59,-0.49,0,0.77
-0.88,-0.39,0,0.96
-0.88,-0.69,0,1.12
-0.88,-0.49,0,1.01
-0.88,-0.29,-0.39,1.01
-0.78,-0.78,-0.29,1.15
-0.88,-0.2,0,0.9
-0.69,0,-0.39,0.79
-0.88,-0.49,0,1.01
-0.78,0,0,0.78
-0.69,-0.39,0,0.79
-0.78,-0.2,0,0.81
-0.69,-0.39,-0.29,0.84
-0.88,-0.39,0,0.96
-0.69,-0.59,0,0.9
-0.98,-0.29,-0.29,1.06
-0.88,-0.49,-0.29,1.05
-1.08,0,-0.29,1.12
-0.69,-0.49,0,0.84
-0.98,-0.29,-0.29,1.06
-0.88,-0.39,0,0.96
-0.69,-0.39,-0.29,0.84
-1.08,-0.49,0,1.18
-0.78,-0.39,0,0.88
-0.88,-0.2,0,0.9
-0.69,-0.59,0,0.9
-0.78,-0.49,-0.2,0.94
-0.78,-0.39,0,0.88
-0.59,-0.59,-0.49,0.96
-0.98,-0.39,0,1.06
-0.88,-0.78,0,1.18
-0.98,-0.29,0,1.02
-0.88,-0.49,-0.39,1.08
-0.69,0,-0.39,0.79
-0.88,-0.39,0,0.96
-0.88,-0.2,0,0.9
-0.78,-0.69,0,1.04
-0.59,-0.39,-0.29,0.77
-0.88,-0.49,0,1.01
-0.69,-0.29,0,0.75
-1.08,-0.59,0,1.23
-0.78,-0.29,-0.49,0.97
-0.88,-0.49,0,1.01
-0.69,-0.39,-0.29,0.84
-0.88,-0.98,0,1.32
-0.88,-0.49,0,1.01
-0.78,-0.59,0,0.98
-0.78,-0.59,0,0.98
-0.88,-0.2,0,0.9
-0.78,-0.69,-0.39,1.11
-0.78,-0.49,0,0.92
-0.98,-0.2,-0.39,1.07
-0.98,-0.29,0,1.02
-0.88,-0.49,-0.49,1.12
-0.69,0,-0.39,0.79
-0.88,-0.39,0,0.96
-0.78,-0.2,-0.29,0.86
-0.88,-0.2,0,0.9
-1.18,-0.69,-0.29,1.39
-0.78,-0.59,-0.29,1.02
-0.78,-0.39,0,0.88
-0.78,-0.59,-0.39,1.06
-0.59,-0.29,-0.29,0.72
-0.69,-0.59,0,0.9
-0.98,-0.69,-0.39,1.26
-0.78,-0.39,-0.29,0.92
-0.78,-0.29,-0.49,0.97
-0.78,-0.59,0,0.98
-0.78,-0.39,-0.49,1
-0.69,-0.59,0,0.9
-0.78,-0.49,0,0.92
-0.78,-0.29,0,0.84
-0.88,-0.39,-0.39,1.04
-0.88,-0.39,0,0.96
-0.69,-0.29,0,0.75
-0.69,-0.69,0,0.97
-0.88,-0.59,-0.49,1.17
-0.88,-0.39,-0.49,1.08
-0.88,-0.49,0,1.01
-0.98,-0.69,0,1.2
-0.78,-0.49,-0.29,0.97
-0.88,-0.39,0,0.96
-0.98,-0.29,-0.49,1.13
-0.98,-0.59,-0.39,1.21
